Date time,Correct PPM,Raw PPM
19/01/2021 08:15:00,660,743.18
19/01/2021 08:30:00,572,588.18
19/01/2021 08:35:00,583,553.38
19/01/2021 08:40:00,579,553.38
19/01/2021 08:45:00,583,536.55
19/01/2021 08:50:00,572,570.59
19/01/2021 08:55:00,566,553.38
19/01/2021 09:00:00,598,553.38
19/01/2021 10:48:00,682,643.27
19/01/2021 10:53:00,608,588.59
19/01/2021 12:12:00,1051,1669
19/01/2021 12:24:00,1058,1786
19/01/2021 13:30:00,925,1487.28
19/01/2021 13:48:00,956,1352
19/01/2021 13:51:00,950,1002
